Gene,total_variants,variants_with_any_failure,any_failure_rate,avg_predictors_failed,SIFT_failure_rate,PolyPhen_failure_rate,CADD_failure_rate,REVEL_failure_rate
SIRPB1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
SIRPB2,2,1,0.5,0.5,0.5,0.0,0.0,0.0
SIRPD,1,1,1.0,1.0,1.0,0.0,0.0,0.0
SIRPG,2,0,0.0,0.0,0.0,0.0,0.0,0.0
SIRT5,2,2,1.0,2.0,0.5,0.5,1.0,0.0
SIX3,3,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0
SIX4,1,1,1.0,2.0,1.0,0.0,1.0,0.0
SIX5,3,2,0.6666666666666666,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0
SIX6,1,1,1.0,2.0,1.0,0.0,1.0,0.0
SKAP2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SKI,3,0,0.0,0.0,0.0,0.0,0.0,0.0
SKIC2,4,1,0.25,0.25,0.0,0.25,0.0,0.0
SKIC3,2,2,1.0,1.5,0.0,0.5,0.5,0.5
SKP2,1,1,1.0,3.0,1.0,1.0,1.0,0.0
SLA2,2,2,1.0,1.5,0.5,0.0,1.0,0.0
SLAMF8,1,1,1.0,3.0,1.0,1.0,1.0,0.0
SLAMF9,2,2,1.0,2.0,0.5,0.5,1.0,0.0
SLC10A1,9,8,0.8888888888888888,3.111111111111111,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.6666666666666666
SLC10A2,2,1,0.5,0.5,0.5,0.0,0.0,0.0
SLC10A3,1,1,1.0,1.0,0.0,1.0,0.0,0.0
SLC10A6,2,2,1.0,2.0,0.5,0.5,1.0,0.0
SLC11A1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC12A1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC12A2,2,1,0.5,1.5,0.5,0.5,0.0,0.5
SLC12A3,35,13,0.37142857142857144,0.7142857142857143,0.17142857142857143,0.2571428571428571,0.08571428571428572,0.2
SLC12A5,1,1,1.0,1.0,1.0,0.0,0.0,0.0
